Artist,Song,Row Type,Status,Current Catalog Entry,Qualified Next Wave Addition,Active Catalog Gain This Wave,Song or Source ID,Format,Key,Chord Count,Transpose Checks,Reason,Git Payload Path,Source Archive,Source Path,Wave ID
ABBA,Fernando,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,e22f6656c41d473f1be215657a71ff1aa3731d33c518a8ac7aa80dd6f95c9a0d,gpx,A,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,Gimme Gimme Gimme (A Man After Midnight),CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,4c49f8220f5b75a8896d4bda3d20c2d4d9a6d368026b6fdd3a06eae0a8b8fb97,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,honey honey,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,4a23b22a908415c943bd31ea6a00f375d101496a3f9b0019b3dbeba7bc3d8f81,gpx,F,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,I Have A Dream,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,3db5b5721fb00a3332f50769748794d21b1d428764b90765770e66368710ec0a,gpx,B♭,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,Knowing Me Knowing You,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,88447a26486bcae1ee0ce8fdfc0e4296b8d45713143c728217278ca61f2762bb,gpx,D,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,Lay All Your Love On Me,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,145c912b4205ef20b5f9c51766913d07689b182244db80fc25698f328d650cf1,gpx,D,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,Mamma Mia,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,19bec40adb14006b4abec12940a6c919c54e802414ca0b1d524f65b52834de98,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,"Money, money, money *alt",CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,8ceb58c234c144c4d328e787913db557646354a9ce5c204fb0f8140ba643a441,gpx,C,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,One Of Us,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,a1207afaf79bdad24535a136f9ebd08d85f50d76fca86010dea57d6c51076eb0,gpx,G,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
ABBA,Our Last Summer,CURRENT_CATALOG,CURRENT_UNCHANGED,1,0,0,ad2adb95cada2d6aa40e43b7ac12ad1997fe847b0378a497bd895b8a08478e22,gpx,D,,,Existing catalog record preserved,,,,GFB-V6.0-CATALOG-R03
